raw_material,cid
"((3S,5R)-5-((1H-1,2,4-triazol-1-yl)- methyl)-5-(2,4-difluorophenyl)- tetrahydrofuran-3-yl)methyl- 4-methylbenzenesulfonate ",46223299
Toluene (d=0.87),1140 
CS Lye solution,14798 
Ethylacetate (d=0.90),8875
Sodium chloride,5234 
Hyflo,24261 
Activated carbon,5462310 
Isopropyl alcohol (d=0.79),3776 
