date,unit_value_usd,country
2022-09-14,1.48,NEPAL
2022-09-14,1.41,ARGENTINA
2022-09-14,1.41,JORDAN
2022-09-16,5.08,ZAMBIA
2022-09-20,3.85,UNITED STATES
2022-09-18,1.31,NEPAL
2022-09-19,1.38,KENYA
2022-09-19,1.33,UGANDA
2022-09-19,1445.33,KENYA
2022-09-19,1.65,ETHIOPIA
2022-09-19,1.33,NEPAL
2022-09-19,5.08,NEPAL
2022-09-19,7.94,NEPAL
2022-09-20,1.44,NEPAL
2022-09-20,1.50,UGANDA
2022-09-21,9.53,NEPAL
2022-09-21,2.54,NEPAL
2022-09-21,1.42,UGANDA
2022-09-21,1.31,"TANZANIA, UNITED REPUBLIC OF"
2022-09-22,1.87,"TANZANIA, UNITED REPUBLIC OF"
2022-09-27,3.35,UNITED STATES
2022-09-24,1.65,KENYA
2022-09-25,1.40,NEPAL
2022-09-28,1.36,NEPAL
2022-09-29,1375.81,BANGLADESH
2022-09-29,1375.81,BANGLADESH
2022-09-30,0.89,NEPAL
2022-09-03,6.35,NEPAL
2022-09-06,1.95,SRI LANKA
2022-09-08,1.95,SRI LANKA
2022-09-09,1.31,NEPAL
2022-09-10,1.33,UGANDA
2022-09-10,1505.81,UGANDA
2022-08-03,1.37,"TANZANIA, UNITED REPUBLIC OF"
2022-08-04,1627.39,COTE D`IVOIRE
2022-08-05,1.35,NEPAL
2022-08-05,1.35,NEPAL
2022-08-12,0.00,UNITED STATES
2022-08-12,0.00,UNITED STATES
2022-08-12,0.00,UNITED STATES
2022-08-11,1331.36,SRI LANKA
2022-08-11,1358.73,"TANZANIA, UNITED REPUBLIC OF"
2022-08-13,1.31,NEPAL
2022-08-13,1331.36,SRI LANKA
2022-08-14,1.31,NEPAL
2022-08-16,1.78,NEPAL
2022-08-16,1.34,NEPAL
2022-08-23,3.85,UNITED STATES
2022-08-23,3.85,UNITED STATES
2022-08-27,0.00,UNITED KINGDOM
2022-08-28,1.35,MADAGASCAR
2022-08-28,1.29,UGANDA
2022-08-28,1.41,MAURITIUS
2022-08-28,1.33,JORDAN
2022-08-29,156.36,QATAR
2022-08-26,5.08,FRANCE
2022-08-26,5.08,FRANCE
2022-08-30,114.21,UNITED ARAB EMIRATES
2022-08-31,1.43,NEPAL
2022-08-02,1.51,KENYA
2022-08-02,1.51,KENYA
2022-08-02,1.51,KENYA
2022-08-02,1.51,KENYA
2022-08-02,1.51,KENYA
2022-08-03,1.37,"TANZANIA, UNITED REPUBLIC OF"
2022-08-03,1212.12,UNITED ARAB EMIRATES
2022-08-03,1212.12,UNITED ARAB EMIRATES
2022-08-04,8.84,"TANZANIA, UNITED REPUBLIC OF"
2022-08-06,1.43,UGANDA
2022-08-06,1.00,"VENEZUELA, BOLIVARIAN REPUBLIC OF"
2022-08-06,1.47,KENYA
2022-08-06,1.43,UGANDA
