date,unit_value_usd,country
2022-11-21,10.26,MYANMAR
2023-03-02,6.06,GHANA
2022-09-03,12.28,SUDAN
2022-09-02,12.28,SUDAN
2022-09-24,10.67,MYANMAR
2023-03-18,0.00,BANGLADESH
