date,unit_value_usd,country
2022-09-09,5.08,FRANCE
2022-09-09,19.06,FRANCE
2022-09-12,6.35,RUSSIAN FEDERATION
2022-09-14,9.53,NEPAL
2022-09-19,1.79,NEPAL
2022-09-19,39.39,IRAQ
2022-09-22,5.00,BANGLADESH
2022-09-25,2.38,NEPAL
2022-09-27,69.89,NEPAL
2022-09-27,1.00,EGYPT
2022-09-30,6.95,TUNISIA
2022-08-12,5.00,BANGLADESH
2022-08-24,7.61,SAUDI ARABIA
2022-08-24,8.57,TURKEY
2022-08-25,0.96,NEPAL
2022-08-30,10.58,NEPAL
2022-08-30,101.52,UNITED ARAB EMIRATES
2022-08-01,4.99,BANGLADESH
2022-08-29,101.52,UNITED ARAB EMIRATES
2022-12-05,8.56,IRAQ
2022-12-10,9.13,RUSSIAN FEDERATION
2022-12-10,21.45,RUSSIAN FEDERATION
2022-12-12,12.45,TURKEY
2022-12-13,9.13,RUSSIAN FEDERATION
2022-12-13,21.45,RUSSIAN FEDERATION
2022-12-15,2.33,NEPAL
2022-12-19,9.17,NEPAL
2022-12-19,9.17,NEPAL
2022-12-19,9.17,NEPAL
2022-12-23,18.93,RUSSIAN FEDERATION
2022-12-23,18.93,RUSSIAN FEDERATION
2022-12-23,22.65,RUSSIAN FEDERATION
2022-12-23,22.65,RUSSIAN FEDERATION
2022-12-26,9.17,AUSTRALIA
2022-12-27,2.29,NEPAL
2022-12-29,6.97,JORDAN
2022-12-30,6.97,JORDAN
2022-12-30,6.97,JORDAN
2022-12-22,12.22,OMAN
2021-10-12,1467.68,BHUTAN
2021-10-19,9552.77,NEPAL
2021-10-25,1467.68,BHUTAN
2021-10-25,185.20,TURKEY
2021-10-25,358.40,TURKEY
2021-10-25,185.20,TURKEY
2021-10-25,358.40,TURKEY
2021-09-14,103.80,"KOREA, REPUBLIC OF"
2021-09-14,34.00,"KOREA, REPUBLIC OF"
2021-09-09,63.90,ETHIOPIA
2021-09-01,2480.00,NEPAL
2021-09-06,12.30,EGYPT
2021-09-08,440.80,OMAN
2021-09-30,12.00,SRI LANKA
2021-06-04,40.70,INDONESIA
2021-06-07,72.55,GABON
2021-06-07,34.48,GABON
2021-06-08,34.48,GABON
2021-06-07,33.40,UGANDA
2021-06-11,144.00,ARGENTINA
2021-06-15,33.40,UGANDA
2021-06-21,33.60,SUDAN
2021-06-30,33.60,SUDAN
2021-11-02,60.00,BANGLADESH
2021-11-10,160.80,ETHIOPIA
2021-11-22,1.61,QATAR
2021-11-23,602.80,TURKEY
2021-11-23,5200.00,JORDAN
2021-11-23,7280.00,JORDAN
2021-11-29,716.00,BHUTAN
2021-11-30,160.80,ETHIOPIA
2022-01-05,23600.00,NEPAL
2022-01-07,2786.75,SAUDI ARABIA
2022-01-13,27500.00,NEPAL
2022-01-14,28800.90,NEPAL
2022-01-18,155.89,MALDIVES
2022-01-18,155.89,MALDIVES
2022-01-18,12.88,SRI LANKA
2022-01-18,47.50,SRI LANKA
2022-01-18,37.76,SRI LANKA
2022-01-21,72.00,SAUDI ARABIA
2022-01-22,72.00,SAUDI ARABIA
2022-01-24,8.86,GHANA
2022-01-24,17.72,GHANA
2022-01-24,17.72,GHANA
2022-01-27,2700.00,BANGLADESH
2022-01-28,135.00,UNITED ARAB EMIRATES
2021-03-02,21.00,UGANDA
2021-03-05,114.00,NEPAL
2021-03-06,40.00,BANGLADESH
2021-03-18,2610.39,OMAN
2021-03-19,80.00,SAUDI ARABIA
2021-03-24,121.80,SRI LANKA
2021-03-25,4.00,MOROCCO
2021-03-26,2.32,MOROCCO
2021-03-30,70.16,LEBANON
2022-09-12,995.20,SUDAN
2022-09-04,703.94,UNITED ARAB EMIRATES
2022-09-05,1.02,NEPAL
2022-09-08,0.86,NEPAL
2022-09-08,644.22,UNITED ARAB EMIRATES
2022-09-10,711.82,"IRAN, ISLAMIC REPUBLIC OF"
2022-09-12,0.84,NEPAL
2022-09-12,711.82,"IRAN, ISLAMIC REPUBLIC OF"
2022-09-13,649.94,QATAR
2022-09-14,0.76,NEPAL
2022-09-17,711.82,"IRAN, ISLAMIC REPUBLIC OF"
2022-09-20,693.77,SAUDI ARABIA
2022-09-20,0.71,NEPAL
2022-09-20,0.71,NEPAL
2022-09-21,0.83,NEPAL
2022-09-22,1.02,NEPAL
2022-09-23,0.99,NEPAL
2022-09-24,0.75,SRI LANKA
2022-09-24,0.75,SRI LANKA
2022-09-27,0.71,NEPAL
2022-09-28,1.08,UGANDA
2022-09-28,1.08,UGANDA
2022-09-28,1.08,UGANDA
2022-09-20,0.76,NEPAL
2022-09-03,0.76,NEPAL
2022-09-02,679.80,UNITED ARAB EMIRATES
2022-09-10,609.91,UNITED ARAB EMIRATES
2022-09-14,609.91,UNITED ARAB EMIRATES
2022-09-11,1.03,NEPAL
2022-09-23,1.03,NEPAL
2022-09-16,0.76,NEPAL
2022-09-29,0.00,INDONESIA
2022-09-30,930.25,UNITED STATES
2022-09-30,930.25,UNITED STATES
2022-09-09,0.68,SUDAN
2022-09-17,3.17,KENYA
2022-09-17,3.17,KENYA
2022-11-21,0.89,NEPAL
2022-11-29,12.36,POLAND
2022-11-29,12.36,ISRAEL
2022-11-04,0.77,NEPAL
2022-11-07,0.61,TURKEY
2022-11-14,574.30,UNITED ARAB EMIRATES
2022-11-15,0.87,"TANZANIA, UNITED REPUBLIC OF"
2022-11-25,595.42,SAUDI ARABIA
2022-11-25,590.29,SAUDI ARABIA
2022-11-25,0.79,NEPAL
2022-11-29,0.81,NEPAL
2022-11-29,574.17,UNITED ARAB EMIRATES
2022-11-03,0.85,NEPAL
2022-11-17,669.91,UNITED STATES
2022-11-30,743.51,"TANZANIA, UNITED REPUBLIC OF"
2022-11-30,669.55,UNITED STATES
2022-11-08,590.38,BANGLADESH
2022-11-18,602.02,BANGLADESH
2022-11-24,592.30,UNITED ARAB EMIRATES
2022-11-24,703.89,OMAN
2022-11-28,663.83,SUDAN
2022-11-16,633.37,NEPAL
2022-11-13,0.76,NEPAL
2022-05-01,891.32,JORDAN
2022-05-01,891.32,JORDAN
2022-05-03,850.23,MADAGASCAR
2022-05-19,1.35,"TANZANIA, UNITED REPUBLIC OF"
2022-05-18,824.82,SAUDI ARABIA
2022-05-09,1.11,NEPAL
2022-05-05,836.98,SAUDI ARABIA
2022-05-05,844.93,UNITED ARAB EMIRATES
2022-05-25,818.60,EGYPT
2022-05-06,837.43,SAUDI ARABIA
2022-05-14,1.14,NEPAL
2022-05-14,1.11,NEPAL
2022-05-25,1169.70,UNITED STATES
2022-05-31,863.00,BELGIUM
2022-05-07,1.76,MYANMAR
2022-05-08,1.09,UGANDA
2022-05-08,1.19,NEPAL
2022-05-20,1.22,NEPAL
2022-05-13,1099.19,UNITED ARAB EMIRATES
2022-05-13,0.85,UNITED ARAB EMIRATES
2023-02-23,0.95,NEPAL
2023-02-24,0.77,NEPAL
2023-02-25,516.48,KENYA
2023-02-24,570.04,UNITED STATES
2023-02-24,530.80,KENYA
2023-02-24,1.04,NEPAL
2023-02-25,575.70,SRI LANKA
2023-02-26,0.83,NEPAL
2023-02-10,1.14,NEPAL
2023-02-11,0.57,EGYPT
2023-02-27,563.58,GREECE
2023-02-27,518.93,TURKEY
2023-02-27,518.93,TURKEY
2023-02-27,586.69,QATAR
2023-02-03,600.25,"TANZANIA, UNITED REPUBLIC OF"
2023-02-03,600.25,"TANZANIA, UNITED REPUBLIC OF"
2023-02-01,543.76,UNITED ARAB EMIRATES
2023-02-01,543.76,UNITED ARAB EMIRATES
2023-02-16,0.92,NEPAL
2023-02-15,0.54,UNITED ARAB EMIRATES
2023-02-16,570.06,OMAN
2023-02-06,558.91,UNITED ARAB EMIRATES
2023-02-12,0.94,UGANDA
2023-02-18,543.96,TURKEY
2023-02-14,558.91,UNITED ARAB EMIRATES
2023-02-21,0.78,NEPAL
2023-02-17,370.00,BELGIUM
2023-02-22,543.96,TURKEY
2023-02-22,525.03,SAUDI ARABIA
2023-02-22,525.03,SAUDI ARABIA
2023-02-22,543.96,TURKEY
2023-02-22,543.96,TURKEY
2023-02-20,0.91,UGANDA
2023-02-02,543.76,UNITED ARAB EMIRATES
2023-02-17,543.96,TURKEY
2023-02-17,543.96,TURKEY
2023-02-17,543.96,TURKEY
2023-02-17,543.96,TURKEY
2023-02-22,0.78,NEPAL
2023-02-20,563.58,GREECE
2023-02-23,543.96,TURKEY
2023-02-23,543.96,TURKEY
2023-02-23,0.95,KENYA
2023-02-28,0.90,NEPAL
2023-02-28,518.93,TURKEY
2023-02-28,518.93,TURKEY
2023-02-28,586.69,QATAR
2023-02-28,518.93,TURKEY
2023-02-28,518.93,TURKEY
2023-02-28,518.93,TURKEY
2022-07-17,1.18,NEPAL
2022-07-15,859.97,"TANZANIA, UNITED REPUBLIC OF"
2022-07-15,0.98,NEPAL
2022-07-22,794.19,UNITED ARAB EMIRATES
2022-07-22,794.19,UNITED ARAB EMIRATES
2022-07-23,1.09,NEPAL
2022-07-25,1.49,"CONGO, THE DEMOCRATIC REPUBLIC OF THE"
2022-07-18,890.03,UNITED ARAB EMIRATES
2022-07-18,890.03,UNITED ARAB EMIRATES
2022-07-11,1.02,NEPAL
2022-07-12,81.84,RUSSIAN FEDERATION
2022-07-01,0.88,NEPAL
2022-07-01,0.90,NEPAL
2022-07-03,1.01,NEPAL
2022-07-30,739.90,JORDAN
2022-07-06,1.01,NEPAL
2022-07-06,1.00,NEPAL
2022-07-04,1.04,NEPAL
2022-07-01,1.25,UGANDA
2022-07-13,0.77,NEPAL
2022-07-13,0.99,NEPAL
2022-07-07,0.97,NEPAL
2022-07-07,1.05,NEPAL
2022-07-05,1.09,NEPAL
2022-07-05,0.97,NEPAL
2022-07-14,890.03,UNITED ARAB EMIRATES
2022-07-20,2.01,LEBANON
2022-07-06,794.17,UNITED ARAB EMIRATES
2022-07-06,794.17,UNITED ARAB EMIRATES
2022-07-06,794.17,UNITED ARAB EMIRATES
2023-03-21,534.99,TURKEY
2023-03-21,534.99,TURKEY
2023-03-22,534.99,TURKEY
2023-03-23,506.41,TURKEY
2023-03-23,506.41,TURKEY
2023-03-04,0.88,NEPAL
2023-03-04,553.29,GREECE
2023-03-03,513.76,UNITED ARAB EMIRATES
2023-03-17,0.80,NEPAL
2023-03-18,555.89,UNITED STATES
2023-03-20,0.55,COTE D`IVOIRE
2023-03-18,560.40,TURKEY
2023-03-20,534.99,TURKEY
2023-03-20,534.99,TURKEY
2023-03-18,1.00,GHANA
2023-03-19,0.68,NEPAL
2023-03-20,420.00,BELGIUM
2023-03-20,419.99,BELGIUM
2023-03-12,584.10,BRAZIL
2023-03-10,519.27,TURKEY
2023-03-11,519.27,TURKEY
2023-03-11,519.27,TURKEY
2023-03-10,6.77,CHINA
2023-03-15,0.98,NEPAL
2023-03-15,0.98,NEPAL
2023-03-14,0.98,NEPAL
2023-03-14,1.10,NEPAL
2023-03-14,1.03,NEPAL
2023-03-06,485.02,TURKEY
2023-03-06,485.02,TURKEY
2023-03-07,544.95,"TANZANIA, UNITED REPUBLIC OF"
2023-03-08,0.59,SAUDI ARABIA
2023-03-16,0.66,NEPAL
2023-03-09,519.27,TURKEY
2023-03-09,519.27,TURKEY
2023-03-09,519.27,TURKEY
2023-03-01,518.93,TURKEY
2023-03-01,518.93,TURKEY
