date,unit_value_usd,country
2022-03-11,0.00,JORDAN
2022-03-14,2.43,POLAND
2022-03-14,2.43,POLAND
2022-03-15,13.34,JAPAN
2022-03-17,0.00,UNITED KINGDOM
2022-03-17,0.00,UNITED KINGDOM
2022-03-15,5.34,SOUTH AFRICA
2022-03-22,2.45,POLAND
2022-03-22,2.45,POLAND
2022-03-21,3.66,UNITED KINGDOM
2022-03-21,3.17,UNITED STATES
2022-03-23,2.53,BELGIUM
2022-03-29,14.63,BANGLADESH
2022-03-30,0.00,JORDAN
2022-03-31,0.00,UNITED KINGDOM
2022-03-31,1.90,SAUDI ARABIA
2022-03-31,7.98,OMAN
2022-03-29,4.99,KENYA
2022-09-03,2.69,UNITED KINGDOM
2022-09-01,12.69,RUSSIAN FEDERATION
2022-09-07,0.00,UNITED KINGDOM
2022-09-05,3.08,UNITED KINGDOM
2022-09-05,2.86,JORDAN
2022-09-07,0.00,UNITED KINGDOM
2022-09-09,7.62,FRANCE
2022-09-11,2.35,BELGIUM
2022-09-10,3.39,SAUDI ARABIA
2022-09-16,2.54,NETHERLANDS
2022-09-16,46.59,RUSSIAN FEDERATION
2022-09-19,2.61,SINGAPORE
2022-09-16,0.00,KAZAKHSTAN
2022-09-21,3.18,TURKEY
2022-09-21,3.06,UNITED KINGDOM
2022-09-24,2.34,BELGIUM
2022-09-28,2.83,UNITED STATES
2022-09-28,46.59,RUSSIAN FEDERATION
2022-09-30,0.00,JAPAN
2022-09-15,3.40,NETHERLANDS
2022-09-27,0.00,UNITED KINGDOM
2022-09-30,46.59,RUSSIAN FEDERATION
2022-09-12,2.35,BELGIUM
2022-08-03,0.00,UNITED KINGDOM
2022-08-17,0.00,FRANCE
2022-08-23,12.69,RUSSIAN FEDERATION
2022-08-25,3.66,UNITED ARAB EMIRATES
2022-08-27,0.00,UNITED KINGDOM
2022-08-04,2.95,UNITED STATES
2022-08-08,0.00,UNITED KINGDOM
2022-08-23,2.86,JORDAN
2022-08-30,4.48,UNITED ARAB EMIRATES
2022-08-27,12.69,RUSSIAN FEDERATION
2022-08-13,2.95,UNITED STATES
2022-08-09,8.40,MALAYSIA
2022-12-03,2.87,SPAIN
2022-12-06,2.85,POLAND
2022-12-05,2.59,IRAQ
2022-12-07,2.86,UKRAINE
2022-12-16,36.67,RUSSIAN FEDERATION
2022-12-21,16.26,UNITED ARAB EMIRATES
2022-12-22,0.00,"TANZANIA, UNITED REPUBLIC OF"
2022-12-23,2.85,"IRAN, ISLAMIC REPUBLIC OF"
2022-12-26,0.00,TURKEY
2022-12-29,5.01,JORDAN
2022-12-30,5.01,JORDAN
2022-12-30,5.01,JORDAN
2022-12-02,0.00,UNITED KINGDOM
2022-12-08,2.89,UKRAINE
2022-12-29,0.00,SOUTH AFRICA
2021-10-04,300.00,JAPAN
2021-10-04,70000.00,NEPAL
2021-10-08,27.10,UNITED ARAB EMIRATES
2021-10-11,12.54,PHILIPPINES
2021-10-14,116.20,SRI LANKA
2021-10-14,178.20,SRI LANKA
2021-10-16,47871.00,BELGIUM
2021-10-12,420.00,QATAR
2021-10-20,36400.00,JAPAN
2021-10-22,34476.00,ITALY
2021-10-22,52710.00,BELGIUM
2021-10-25,39600.00,SINGAPORE
2021-10-28,137.94,PHILIPPINES
2021-10-04,52774.40,BELGIUM
2021-10-18,39712.00,UNITED KINGDOM
2021-10-08,51462.38,NETHERLANDS
2021-10-20,116.20,SRI LANKA
2021-10-20,178.20,SRI LANKA
2021-10-25,35400.00,NETHERLANDS
2021-09-09,41040.00,BANGLADESH
2021-09-09,41040.00,BANGLADESH
2021-09-16,40.00,SWITZERLAND
2021-09-01,100.00,UNITED KINGDOM
2021-09-03,100.00,UNITED KINGDOM
2021-09-03,160.00,OMAN
2021-09-25,30600.00,SPAIN
2021-09-25,39967.50,UNITED KINGDOM
2021-09-04,162.40,IRAQ
2021-09-07,190.06,SOUTH AFRICA
2021-09-07,190.06,SOUTH AFRICA
2021-09-09,131.90,ETHIOPIA
2021-09-09,944.40,ETHIOPIA
2021-09-11,36000.00,SINGAPORE
2021-09-15,57056.00,BELGIUM
2021-09-15,53550.00,BELGIUM
2021-09-22,34720.00,JAPAN
2021-09-30,2.97,SRI LANKA
2021-06-07,200.00,UNITED KINGDOM
2021-06-10,989.99,NEPAL
2021-06-12,29915.09,NETHERLANDS
2021-06-12,102353.69,BELGIUM
2021-06-15,43.20,GABON
2021-06-18,33845.40,UNITED KINGDOM
2021-06-21,38055.00,SINGAPORE
2021-06-18,43.20,GABON
2021-06-25,29875.94,NETHERLANDS
2021-06-24,100.00,UNITED KINGDOM
2021-06-25,100.00,HUNGARY
2021-06-18,0.50,UNITED STATES
2021-11-16,52470.00,BELGIUM
2021-11-24,338.00,BELGIUM
2021-11-29,2797.00,BHUTAN
2021-11-10,39821.50,UNITED KINGDOM
2021-11-15,51317.98,GERMANY
2021-11-20,90000.00,UNITED STATES
2022-01-06,26.30,KUWAIT
2022-01-06,34.35,KUWAIT
2022-01-10,40004.00,UNITED KINGDOM
2022-01-07,29400.00,SINGAPORE
2022-01-13,220.00,OMAN
2022-01-15,10750.00,MOZAMBIQUE
2022-01-18,100.00,UNITED KINGDOM
2022-01-24,50501.30,GERMANY
2022-01-25,74513.25,BELGIUM
2022-01-27,100.39,OMAN
2022-01-28,135.00,UNITED ARAB EMIRATES
2022-01-29,33600.00,UNITED KINGDOM
2022-01-24,50501.30,GERMANY
2022-01-24,50442.37,GERMANY
2022-01-27,72556.60,BELGIUM
2022-01-31,1760.00,NEPAL
2022-01-24,50501.30,GERMANY
2022-01-24,20.36,GHANA
2021-03-01,34314.07,CHINA
2021-03-16,37689.95,SINGAPORE
2021-03-19,328.00,SAUDI ARABIA
2021-03-16,12.00,GHANA
2021-03-10,88.00,UGANDA
2021-03-03,22027.43,UNITED KINGDOM
2021-03-03,88.00,UGANDA
2021-03-24,16916.40,NEPAL
2021-03-25,3763.20,NEPAL
2021-03-31,150.00,BANGLADESH
2021-03-31,47832.00,SINGAPORE
2022-08-17,3.02,BANGLADESH
2022-12-09,1.49,UNITED ARAB EMIRATES
2022-01-19,32400.00,UNITED STATES
