date,unit_value_usd,country
2023-02-05,37.01,ZAMBIA
2023-02-05,37.01,ZAMBIA
2023-02-21,964.10,ITALY
2023-02-21,964.25,ITALY
2023-02-21,963.83,ITALY
2023-02-21,18.00,UNITED STATES
2023-02-01,2.48,NEPAL
2023-02-14,1.23,NEPAL
2023-02-14,0.83,ARGENTINA
2023-02-14,0.82,ARGENTINA
2023-02-02,16.55,UGANDA
2023-02-25,0.00,BANGLADESH
2023-02-27,1.95,QATAR
2023-02-27,6.59,QATAR
2023-02-24,960.12,GHANA
2023-02-24,959.96,GHANA
2023-02-24,960.32,GHANA
2023-02-24,960.32,GHANA
2023-02-24,960.07,GHANA
2023-02-24,1038.99,TUNISIA
2023-02-24,1038.99,TUNISIA
2023-02-24,960.32,GHANA
2023-02-24,960.27,GHANA
2023-02-24,1038.99,TUNISIA
2023-02-24,1050.84,UNITED STATES
2023-02-24,960.32,GHANA
2023-02-24,960.27,GHANA
2023-02-25,4.82,ISRAEL
2023-02-25,6.35,ISRAEL
2023-02-24,5.09,RWANDA
2023-02-24,5.09,RWANDA
2023-02-24,5.43,RWANDA
2023-02-24,5.43,RWANDA
2023-02-10,1.81,QATAR
2023-02-17,41.51,MALAWI
2023-02-16,0.82,ARGENTINA
2023-02-12,1.23,NEPAL
2023-02-06,3.56,MOZAMBIQUE
2023-02-16,976.21,MEXICO
2023-02-16,975.94,MEXICO
2023-02-16,976.21,MEXICO
2023-02-16,976.47,MEXICO
2023-02-16,976.11,MEXICO
2023-02-16,975.97,MEXICO
2023-02-16,976.47,MEXICO
2023-02-16,976.47,MEXICO
2023-02-16,976.47,MEXICO
2023-02-16,976.31,MEXICO
2023-02-16,976.42,MEXICO
2023-02-03,45.03,OMAN
2023-02-03,171.96,ETHIOPIA
2023-02-03,6.17,MYANMAR
2023-02-16,4.07,MOROCCO
2023-02-15,0.82,ARGENTINA
2023-02-14,12.34,"CONGO, THE DEMOCRATIC REPUBLIC OF THE"
2023-02-28,777.80,KENYA
2023-02-02,1.49,NEPAL
2023-02-09,5.27,RUSSIAN FEDERATION
2023-02-09,9.60,RUSSIAN FEDERATION
2023-02-09,11.08,RUSSIAN FEDERATION
2023-02-13,12.34,"CONGO, THE DEMOCRATIC REPUBLIC OF THE"
2023-02-20,21.98,OMAN
2022-07-14,3631.71,NEPAL
2022-07-25,1.65,"CONGO, THE DEMOCRATIC REPUBLIC OF THE"
2022-07-15,2.13,NEPAL
2022-07-16,46.04,BURUNDI
2022-07-16,7.14,ECUADOR
2022-07-19,1.81,QATAR
2022-07-05,2.07,"YEMEN, DEMOCRATIC"
2022-07-05,11.65,"YEMEN, DEMOCRATIC"
2022-07-21,0.00,UNITED STATES
2022-07-21,0.00,UNITED STATES
2022-07-22,1129.46,QATAR
2022-07-12,5.12,NEPAL
2022-07-12,0.00,BRAZIL
2022-07-20,1.60,"TANZANIA, UNITED REPUBLIC OF"
2022-07-14,4.57,BANGLADESH
2022-07-07,38.83,NEPAL
2023-03-11,7.14,GUATEMALA
2023-03-20,32.99,UNITED ARAB EMIRATES
2023-03-29,1.65,BHUTAN
2023-03-31,8.14,SRI LANKA
2023-03-31,967.70,UNITED ARAB EMIRATES
2023-03-23,0.97,NETHERLANDS
2023-03-23,0.97,NETHERLANDS
2023-03-27,2.14,NEPAL
2023-03-27,0.96,ITALY
2023-03-27,0.96,ITALY
2023-03-27,0.96,ITALY
2023-03-27,0.96,ITALY
2023-03-27,0.96,ITALY
2023-03-27,0.96,ITALY
2023-03-27,0.97,NETHERLANDS
2023-03-28,1225.86,MEXICO
2023-03-28,1225.86,MEXICO
2023-03-18,32.99,UNITED ARAB EMIRATES
2023-03-13,1.29,BHUTAN
2023-03-14,1.16,NEPAL
2023-03-14,1.16,NEPAL
2023-03-28,1225.86,MEXICO
2023-03-17,994.47,ITALY
2023-03-17,994.72,ITALY
2023-03-17,995.96,ITALY
2023-03-17,994.57,ITALY
2023-03-17,994.67,ITALY
2023-03-17,995.05,ITALY
2023-03-29,1225.86,MEXICO
2023-03-15,6.12,ZAMBIA
2023-03-13,1.30,BHUTAN
2023-03-01,0.00,BRAZIL
2022-04-07,1222.70,"TANZANIA, UNITED REPUBLIC OF"
2022-04-12,4.44,SAUDI ARABIA
2022-04-12,5.33,SAUDI ARABIA
2022-04-12,5.33,SAUDI ARABIA
2022-04-12,9.99,SAUDI ARABIA
2022-04-12,11.98,SAUDI ARABIA
2022-04-12,66.58,OMAN
2022-04-05,26.60,GHANA
2022-04-12,15.33,GERMANY
2022-04-05,4.92,BANGLADESH
2022-04-27,909.95,UNITED ARAB EMIRATES
2022-04-02,25.53,MYANMAR
2022-04-02,7.98,MYANMAR
2022-04-16,6.66,BHUTAN
2022-04-18,4.93,BANGLADESH
2022-04-26,3.33,CHINA
2022-04-11,6.13,NEPAL
2022-04-30,4.42,QATAR
2022-04-22,13.25,OMAN
2022-02-02,13.59,NEPAL
2022-02-02,7.41,NEPAL
2022-02-09,3.07,LIBERIA
2022-02-15,657.86,MALAYSIA
2022-02-15,2.22,TURKEY
2022-02-08,9.00,GHANA
2022-02-16,657.82,MALAYSIA
2022-02-16,3.40,BANGLADESH
2022-02-21,1.28,NEPAL
2022-02-04,0.72,MALAYSIA
2022-02-04,202.57,INDONESIA
2022-02-15,1.01,SRI LANKA
2022-02-10,9.00,GHANA
2022-02-19,0.00,TURKEY
2022-02-05,9.52,BANGLADESH
2022-02-03,6.79,GREECE
2022-02-03,1.36,GREECE
2022-06-10,13.02,NEPAL
2022-06-06,0.84,UNITED ARAB EMIRATES
2022-06-05,1.46,BHUTAN
2022-06-14,13.02,"CONGO, THE DEMOCRATIC REPUBLIC OF THE"
2022-06-13,50.78,OMAN
2022-06-16,1133.82,DOMINICAN REPUBLIC
2022-06-16,1.43,BHUTAN
2022-06-04,8.14,EGYPT
2022-06-04,13.67,EGYPT
2022-06-27,3.96,QATAR
2022-06-27,0.00,EGYPT
2022-06-27,0.00,EGYPT
2022-06-27,0.00,EGYPT
2022-06-27,12.94,"CONGO, THE DEMOCRATIC REPUBLIC OF THE"
2022-06-28,2.40,"TAIWAN, PROVINCE OF CHINA"
2022-06-03,6.51,ZAMBIA
2022-06-08,1.63,MALDIVES
2022-06-08,4.68,"TANZANIA, UNITED REPUBLIC OF"
2022-06-06,4.34,QATAR
2022-06-09,6.51,ZAMBIA
2022-06-11,1102.95,QATAR
2022-06-13,2.28,NEPAL
2022-06-13,1.26,NEPAL
2022-06-16,0.00,NIGERIA
2022-06-16,0.00,NIGERIA
2022-06-15,1.63,BANGLADESH
2022-06-15,5.21,BANGLADESH
2022-03-01,867.29,UNITED ARAB EMIRATES
2022-03-02,2.15,NEPAL
2022-03-03,32.28,GHANA
2022-03-07,10.67,NEPAL
2022-03-07,15.21,GERMANY
2022-03-10,10.67,NEPAL
2022-03-11,1089.27,QATAR
2022-03-11,4.00,BHUTAN
2022-03-14,4.00,BHUTAN
2022-03-21,43.88,MYANMAR
2022-03-21,43.88,MYANMAR
2022-03-23,6.65,BAHRAIN
2022-03-24,25.53,MYANMAR
2022-03-24,7.98,MYANMAR
2022-03-24,31.91,GHANA
2022-03-24,31.03,GHANA
2022-03-24,817.43,UNITED ARAB EMIRATES
2022-03-25,8.42,NETHERLANDS
2022-03-25,8.42,NETHERLANDS
2022-03-29,6.57,KENYA
2022-03-29,8.31,KENYA
2022-03-29,6.65,BAHRAIN
2022-03-30,0.37,NEW ZEALAND
2022-03-30,5.78,MALAYSIA
2022-03-30,21.28,OMAN
2022-03-31,5.78,MALAYSIA
2022-03-31,2.13,OMAN
2022-03-31,11.97,OMAN
2022-03-28,6.65,BAHRAIN
2022-09-02,4.13,NEPAL
2022-09-02,1128.70,"IRAN, ISLAMIC REPUBLIC OF"
2022-09-01,771.67,BANGLADESH
2022-09-03,63.53,FRANCE
2022-09-03,5.08,FRANCE
2022-09-03,5.08,FRANCE
2022-09-03,1081.15,UNITED ARAB EMIRATES
2022-09-03,1081.15,UNITED STATES
2022-09-03,1156.49,UNITED STATES
2022-09-03,1156.49,UNITED ARAB EMIRATES
2022-09-06,1093.49,"CONGO, THE DEMOCRATIC REPUBLIC OF THE"
2022-09-07,0.96,BANGLADESH
2022-09-07,0.96,BANGLADESH
