date,unit_value_usd,country
2022-07-19,2287.08,FRANCE
2022-07-25,2277.15,FRANCE
2023-03-21,3782.79,SLOVENIA
2023-03-08,2771.41,ITALY
2023-03-17,0.00,JAPAN
2022-04-15,2685.59,ITALY
2022-02-18,3380.41,UNITED STATES
2022-02-24,2568.93,ITALY
2022-02-24,1999.55,CHINA
2022-02-14,2150.57,FRANCE
2022-02-14,2190.41,FRANCE
2022-06-27,1979.94,"KOREA, REPUBLIC OF"
2022-06-28,2149.68,"KOREA, REPUBLIC OF"
2022-06-10,2164.71,"KOREA, REPUBLIC OF"
2022-03-29,1994.68,CHINA
2022-03-29,2143.62,FRANCE
2022-03-29,1994.68,CHINA
2022-03-29,1994.68,CHINA
2022-03-30,1994.68,CHINA
2022-09-08,2277.00,FRANCE
2022-09-26,2326.64,FRANCE
2022-09-30,2375.37,FRANCE
2022-08-10,2149.11,"KOREA, REPUBLIC OF"
2022-08-10,2116.49,CHINA
2022-08-10,3318.75,UNITED STATES
2022-08-17,2276.89,FRANCE
2022-08-18,2276.89,FRANCE
2022-08-27,3478.74,UNITED STATES
2022-12-10,2665.78,ITALY
2022-12-16,3178.48,UNITED STATES
2022-12-21,3609.27,UNITED STATES
2022-12-29,1765.28,"KOREA, REPUBLIC OF"
2021-10-04,49320.40,FRANCE
2021-10-07,33553.00,"KOREA, REPUBLIC OF"
2021-10-16,49320.40,FRANCE
2021-10-21,47996.00,CHINA
2021-10-29,6567.00,UNITED STATES
2021-10-29,2841.00,UNITED STATES
2021-09-17,47951.00,CHINA
2021-09-17,47951.00,CHINA
2021-09-20,49320.40,FRANCE
2021-09-20,787.50,UNITED ARAB EMIRATES
2021-06-11,52092.00,CHINA
2022-01-06,55782.00,CHINA
2022-01-11,55782.00,CHINA
2022-01-11,41175.00,ITALY
2022-01-12,69723.00,CHINA
2022-01-18,69723.00,CHINA
2022-01-20,69723.00,CHINA
2022-01-29,44705.00,FRANCE
2022-01-31,48216.00,CHINA
2022-01-31,48216.00,CHINA
2021-03-05,35659.00,FRANCE
2021-03-18,33096.00,MEXICO
2021-03-25,519.00,UNITED STATES
2021-03-31,28.40,BANGLADESH
